customerName,customerNumber,phone,city,country,creditLimit,RepfullName,RepLocation
"Mini Gifts Distributors Ltd.",124,4155551450,"San Rafael",USA,210500.00,"Leslie Jennings",USA
"Mini Wheels Co.",129,6505555787,"San Francisco",USA,64600.00,"Leslie Jennings",USA
"Technics Stores Inc.",161,6505556809,Burlingame,USA,84600.00,"Leslie Jennings",USA
"Corporate Gift Ideas Co.",321,6505551386,"San Francisco",USA,105000.00,"Leslie Jennings",USA
"The Sharp Gifts Warehouse",450,4085553659,"San Jose",USA,77600.00,"Leslie Jennings",USA
"Signal Collectibles Ltd.",487,4155554312,Brisbane,USA,60300.00,"Leslie Jennings",USA
"Signal Gift Stores",112,7025551838,"Las Vegas",USA,71800.00,"Leslie Thompson",USA
Toys4GrownUps.com,205,6265557265,Pasadena,USA,90700.00,"Leslie Thompson",USA
"Boards & Toys Co.",219,3105552373,Glendale,USA,11000.00,"Leslie Thompson",USA
"Collectable Mini Designs Co.",239,7605558146,"San Diego",USA,105000.00,"Leslie Thompson",USA
"Men 'R' US Retailers, Ltd.",347,2155554369,"Los Angeles",USA,57700.00,"Leslie Thompson",USA
"West Coast Collectables Co.",475,3105553722,Burbank,USA,55400.00,"Leslie Thompson",USA
"Cambridge Collectables Co.",173,6175555555,Cambridge,USA,43400.00,"Julie Firrelli",USA
"Online Mini Collectables",204,6175557555,Brickhaven,USA,68700.00,"Julie Firrelli",USA
"Mini Creations Ltd.",320,5085559555,"New Bedford",USA,94500.00,"Julie Firrelli",USA
"Classic Gift Ideas, Inc",339,2155554695,Philadelphia,USA,81100.00,"Julie Firrelli",USA
"Collectables For Less Inc.",379,6175558555,Brickhaven,USA,70700.00,"Julie Firrelli",USA
"Diecast Collectables",495,6175552555,Boston,USA,85100.00,"Julie Firrelli",USA
"Diecast Classics Inc.",157,2155551555,Allentown,USA,100600.00,"Steve Patterson",USA
"Auto-Moto Classics Inc.",198,6175558428,Brickhaven,USA,23000.00,"Steve Patterson",USA
"Marta's Replicas Co.",286,6175558555,Cambridge,USA,123700.00,"Steve Patterson",USA
Gifts4AllAges.com,362,6175559555,Boston,USA,41900.00,"Steve Patterson",USA
"Online Diecast Creations Co.",363,6035558647,Nashua,USA,114200.00,"Steve Patterson",USA
FunGiftIdeas.com,462,5085552555,"New Bedford",USA,85800.00,"Steve Patterson",USA
"Muscle Machine Inc",151,2125557413,NYC,USA,138500.00,"Foon Yue Tseng",USA
"American Souvenirs Inc",168,2035557845,"New Haven",USA,0.00,"Foon Yue Tseng",USA
"Vitachrome Inc.",181,2125551500,NYC,USA,76400.00,"Foon Yue Tseng",USA
"Québec Home Shopping Network",233,"(514) 555-8054",Montréal,Canada,48700.00,"Foon Yue Tseng",USA
"Classic Legends Inc.",424,2125558493,NYC,USA,67500.00,"Foon Yue Tseng",USA
"Super Scale Inc.",455,2035559545,"New Haven",USA,95400.00,"Foon Yue Tseng",USA
"Microscale Inc.",456,2125551957,NYC,USA,39800.00,"Foon Yue Tseng",USA
"Land of Toys Inc.",131,2125557818,NYC,USA,114900.00,"George Vanauf",USA
"Gift Depot Inc.",175,2035552570,Bridgewater,USA,84300.00,"George Vanauf",USA
"Canadian Gift Exchange Network",202,"(604) 555-3392",Vancouver,Canada,90300.00,"George Vanauf",USA
"Royal Canadian Collectables, Ltd.",260,"(604) 555-4555",Tsawassen,Canada,89600.00,"George Vanauf",USA
"Mini Classics",319,9145554562,"White Plains",USA,102700.00,"George Vanauf",USA
"Tekni Collectables Inc.",328,2015559350,Newark,USA,43000.00,"George Vanauf",USA
"Gift Ideas Corp.",447,2035554407,Glendale,USA,49700.00,"George Vanauf",USA
"Motor Mint Distributors Inc.",486,2155559857,Philadelphia,USA,72600.00,"George Vanauf",USA
"Saveley & Henriot, Co.",146,78.32.5555,Lyon,France,123900.00,"Loui Bondur",France
"La Corne D'abondance, Co.",172,"(1) 42.34.2555",Paris,France,84300.00,"Loui Bondur",France
"Lyon Souveniers",250,"+33 1 46 62 7555",Paris,France,68100.00,"Loui Bondur",France
"Marseille Mini Autos",350,91.24.4555,Marseille,France,65000.00,"Loui Bondur",France
"Reims Collectables",353,26.47.1555,Reims,France,81100.00,"Loui Bondur",France
"Auto Canal+ Petit",406,"(1) 47.55.6555",Paris,France,95000.00,"Loui Bondur",France
"Atelier graphique",103,40.32.2555,Nantes,France,21000.00,"Gerard Hernandez",France
"La Rochelle Gifts",119,40.67.8555,Nantes,France,118200.00,"Gerard Hernandez",France
"Euro+ Shopping Channel",141,"(91) 555 94 44",Madrid,Spain,227600.00,"Gerard Hernandez",France
"Daedalus Designs Imports",171,20.16.1555,Lille,France,82900.00,"Gerard Hernandez",France
"Mini Caravy",209,88.60.1555,Strasbourg,France,53800.00,"Gerard Hernandez",France
"Alpha Cognac",242,61.77.6555,Toulouse,France,61100.00,"Gerard Hernandez",France
"Auto Associés & Cie.",256,30.59.8555,Versailles,France,77900.00,"Gerard Hernandez",France
"Danish Wholesale Imports",145,"31 12 3555",Kobenhavn,Denmark,83400.00,"Pamela Castillo",France
"Heintze Collectables",227,"86 21 3555",Århus,Denmark,120800.00,"Pamela Castillo",France
"Amica Models & Co.",249,011-4988555,Torino,Italy,113000.00,"Pamela Castillo",France
"Rovelli Gifts",278,035-640555,Bergamo,Italy,119600.00,"Pamela Castillo",France
"Petit Auto",314,"(02) 5554 67",Bruxelles,Belgium,79900.00,"Pamela Castillo",France
"Royale Belge",381,"(071) 23 67 2555",Charleroi,Belgium,23500.00,"Pamela Castillo",France
"Salzburg Collectables",382,6562-9555,Salzburg,Austria,71700.00,"Pamela Castillo",France
"L'ordine Souveniers",386,0522-556555,"Reggio Emilia",Italy,121400.00,"Pamela Castillo",France
"Mini Auto Werke",452,7675-3555,Graz,Austria,45300.00,"Pamela Castillo",France
"Frau da Collezione",473,"+39 022515555",Milan,Italy,34800.00,"Pamela Castillo",France
"Enaco Distributors",216,"(93) 203 4555",Barcelona,Spain,60300.00,"Martin Gerard",France
