customerNumber,quantityOrdered,priceEach,status,comments,productName,orderDate,shippedDate,comments
363,30,136.00,Shipped,NULL,"1917 Grand Touring Sedan",2003-01-06,2003-01-10,NULL
363,30,136.00,Shipped,NULL,"1917 Grand Touring Sedan",2003-11-20,2003-11-25,NULL
363,30,136.00,Shipped,NULL,"1917 Grand Touring Sedan",2004-11-04,2004-11-10,"Customer has worked with some of our vendors in the past and is aware of their MSRP"
363,50,55.09,Shipped,NULL,"1911 Ford Town Car",2003-01-06,2003-01-10,NULL
363,50,55.09,Shipped,NULL,"1911 Ford Town Car",2003-11-20,2003-11-25,NULL
363,50,55.09,Shipped,NULL,"1911 Ford Town Car",2004-11-04,2004-11-10,"Customer has worked with some of our vendors in the past and is aware of their MSRP"
363,22,75.46,Shipped,NULL,"1932 Alfa Romeo 8C2300 Spider Sport",2003-01-06,2003-01-10,NULL
363,22,75.46,Shipped,NULL,"1932 Alfa Romeo 8C2300 Spider Sport",2003-11-20,2003-11-25,NULL
363,22,75.46,Shipped,NULL,"1932 Alfa Romeo 8C2300 Spider Sport",2004-11-04,2004-11-10,"Customer has worked with some of our vendors in the past and is aware of their MSRP"
363,49,35.29,Shipped,NULL,"1936 Mercedes Benz 500k Roadster",2003-01-06,2003-01-10,NULL
363,49,35.29,Shipped,NULL,"1936 Mercedes Benz 500k Roadster",2003-11-20,2003-11-25,NULL
363,49,35.29,Shipped,NULL,"1936 Mercedes Benz 500k Roadster",2004-11-04,2004-11-10,"Customer has worked with some of our vendors in the past and is aware of their MSRP"
128,25,108.06,Shipped,"Check on availability.","1932 Model A Ford J-Coupe",2003-01-09,2003-01-11,"Check on availability."
128,25,108.06,Shipped,"Check on availability.","1932 Model A Ford J-Coupe",2004-03-15,2004-03-20,"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch"
128,25,108.06,Shipped,"Check on availability.","1932 Model A Ford J-Coupe",2003-10-04,2003-10-09,NULL
128,25,108.06,Shipped,"Check on availability.","1932 Model A Ford J-Coupe",2004-11-05,2004-11-09,NULL
128,26,167.06,Shipped,"Check on availability.","1928 Mercedes-Benz SSK",2003-01-09,2003-01-11,"Check on availability."
128,26,167.06,Shipped,"Check on availability.","1928 Mercedes-Benz SSK",2004-03-15,2004-03-20,"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch"
128,26,167.06,Shipped,"Check on availability.","1928 Mercedes-Benz SSK",2003-10-04,2003-10-09,NULL
128,26,167.06,Shipped,"Check on availability.","1928 Mercedes-Benz SSK",2004-11-05,2004-11-09,NULL
128,45,32.53,Shipped,"Check on availability.","1939 Chevrolet Deluxe Coupe",2003-01-09,2003-01-11,"Check on availability."
128,45,32.53,Shipped,"Check on availability.","1939 Chevrolet Deluxe Coupe",2004-03-15,2004-03-20,"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch"
128,45,32.53,Shipped,"Check on availability.","1939 Chevrolet Deluxe Coupe",2003-10-04,2003-10-09,NULL
128,45,32.53,Shipped,"Check on availability.","1939 Chevrolet Deluxe Coupe",2004-11-05,2004-11-09,NULL
128,46,44.35,Shipped,"Check on availability.","1938 Cadillac V-16 Presidential Limousine",2003-01-09,2003-01-11,"Check on availability."
128,46,44.35,Shipped,"Check on availability.","1938 Cadillac V-16 Presidential Limousine",2004-03-15,2004-03-20,"Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch"
128,46,44.35,Shipped,"Check on availability.","1938 Cadillac V-16 Presidential Limousine",2003-10-04,2003-10-09,NULL
128,46,44.35,Shipped,"Check on availability.","1938 Cadillac V-16 Presidential Limousine",2004-11-05,2004-11-09,NULL
181,39,95.55,Shipped,NULL,"1937 Lincoln Berline",2003-01-10,2003-01-14,NULL
181,39,95.55,Shipped,NULL,"1937 Lincoln Berline",2004-04-05,2004-04-10,NULL
181,39,95.55,Shipped,NULL,"1937 Lincoln Berline",2004-11-05,2004-11-08,NULL
181,41,43.13,Shipped,NULL,"1936 Mercedes-Benz 500K Special Roadster",2003-01-10,2003-01-14,NULL
181,41,43.13,Shipped,NULL,"1936 Mercedes-Benz 500K Special Roadster",2004-04-05,2004-04-10,NULL
181,41,43.13,Shipped,NULL,"1936 Mercedes-Benz 500K Special Roadster",2004-11-05,2004-11-08,NULL
121,26,214.30,Shipped,NULL,"1952 Alpine Renault 1300",2003-01-29,2003-02-02,NULL
121,26,214.30,Shipped,NULL,"1952 Alpine Renault 1300",2003-10-10,2003-10-15,NULL
121,26,214.30,Shipped,NULL,"1952 Alpine Renault 1300",2004-10-15,2004-10-18,NULL
121,26,214.30,Shipped,NULL,"1952 Alpine Renault 1300",2004-11-05,2004-11-08,NULL
121,42,119.67,Shipped,NULL,"1962 LanciaA Delta 16V",2003-01-29,2003-02-02,NULL
121,42,119.67,Shipped,NULL,"1962 LanciaA Delta 16V",2003-10-10,2003-10-15,NULL
121,42,119.67,Shipped,NULL,"1962 LanciaA Delta 16V",2004-10-15,2004-10-18,NULL
121,42,119.67,Shipped,NULL,"1962 LanciaA Delta 16V",2004-11-05,2004-11-08,NULL
121,27,121.64,Shipped,NULL,"1958 Setra Bus",2003-01-29,2003-02-02,NULL
121,27,121.64,Shipped,NULL,"1958 Setra Bus",2003-10-10,2003-10-15,NULL
121,27,121.64,Shipped,NULL,"1958 Setra Bus",2004-10-15,2004-10-18,NULL
121,27,121.64,Shipped,NULL,"1958 Setra Bus",2004-11-05,2004-11-08,NULL
121,35,94.50,Shipped,NULL,"1940 Ford Pickup Truck",2003-01-29,2003-02-02,NULL
121,35,94.50,Shipped,NULL,"1940 Ford Pickup Truck",2003-10-10,2003-10-15,NULL
121,35,94.50,Shipped,NULL,"1940 Ford Pickup Truck",2004-10-15,2004-10-18,NULL
121,35,94.50,Shipped,NULL,"1940 Ford Pickup Truck",2004-11-05,2004-11-08,NULL
121,22,58.34,Shipped,NULL,"1926 Ford Fire Engine",2003-01-29,2003-02-02,NULL
121,22,58.34,Shipped,NULL,"1926 Ford Fire Engine",2003-10-10,2003-10-15,NULL
121,22,58.34,Shipped,NULL,"1926 Ford Fire Engine",2004-10-15,2004-10-18,NULL
121,22,58.34,Shipped,NULL,"1926 Ford Fire Engine",2004-11-05,2004-11-08,NULL
121,27,92.19,Shipped,NULL,"1913 Ford Model T Speedster",2003-01-29,2003-02-02,NULL
121,27,92.19,Shipped,NULL,"1913 Ford Model T Speedster",2003-10-10,2003-10-15,NULL
121,27,92.19,Shipped,NULL,"1913 Ford Model T Speedster",2004-10-15,2004-10-18,NULL
121,27,92.19,Shipped,NULL,"1913 Ford Model T Speedster",2004-11-05,2004-11-08,NULL
121,35,61.84,Shipped,NULL,"1934 Ford V8 Coupe",2003-01-29,2003-02-02,NULL
121,35,61.84,Shipped,NULL,"1934 Ford V8 Coupe",2003-10-10,2003-10-15,NULL
121,35,61.84,Shipped,NULL,"1934 Ford V8 Coupe",2004-10-15,2004-10-18,NULL
121,35,61.84,Shipped,NULL,"1934 Ford V8 Coupe",2004-11-05,2004-11-08,NULL
121,25,86.92,Shipped,NULL,"18th Century Vintage Horse Carriage",2003-01-29,2003-02-02,NULL
121,25,86.92,Shipped,NULL,"18th Century Vintage Horse Carriage",2003-10-10,2003-10-15,NULL
121,25,86.92,Shipped,NULL,"18th Century Vintage Horse Carriage",2004-10-15,2004-10-18,NULL
121,25,86.92,Shipped,NULL,"18th Century Vintage Horse Carriage",2004-11-05,2004-11-08,NULL
121,46,86.31,Shipped,NULL,"1917 Maxwell Touring Car",2003-01-29,2003-02-02,NULL
121,46,86.31,Shipped,NULL,"1917 Maxwell Touring Car",2003-10-10,2003-10-15,NULL
121,46,86.31,Shipped,NULL,"1917 Maxwell Touring Car",2004-10-15,2004-10-18,NULL
121,46,86.31,Shipped,NULL,"1917 Maxwell Touring Car",2004-11-05,2004-11-08,NULL
121,36,98.07,Shipped,NULL,"1940s Ford truck",2003-01-29,2003-02-02,NULL
121,36,98.07,Shipped,NULL,"1940s Ford truck",2003-10-10,2003-10-15,NULL
121,36,98.07,Shipped,NULL,"1940s Ford truck",2004-10-15,2004-10-18,NULL
121,36,98.07,Shipped,NULL,"1940s Ford truck",2004-11-05,2004-11-08,NULL
121,41,40.75,Shipped,NULL,"1939 Cadillac Limousine",2003-01-29,2003-02-02,NULL
121,41,40.75,Shipped,NULL,"1939 Cadillac Limousine",2003-10-10,2003-10-15,NULL
121,41,40.75,Shipped,NULL,"1939 Cadillac Limousine",2004-10-15,2004-10-18,NULL
121,41,40.75,Shipped,NULL,"1939 Cadillac Limousine",2004-11-05,2004-11-08,NULL
121,36,107.34,Shipped,NULL,"1962 Volkswagen Microbus",2003-01-29,2003-02-02,NULL
121,36,107.34,Shipped,NULL,"1962 Volkswagen Microbus",2003-10-10,2003-10-15,NULL
121,36,107.34,Shipped,NULL,"1962 Volkswagen Microbus",2004-10-15,2004-10-18,NULL
121,36,107.34,Shipped,NULL,"1962 Volkswagen Microbus",2004-11-05,2004-11-08,NULL
121,25,88.62,Shipped,NULL,"1936 Chrysler Airflow",2003-01-29,2003-02-02,NULL
121,25,88.62,Shipped,NULL,"1936 Chrysler Airflow",2003-10-10,2003-10-15,NULL
121,25,88.62,Shipped,NULL,"1936 Chrysler Airflow",2004-10-15,2004-10-18,NULL
121,25,88.62,Shipped,NULL,"1936 Chrysler Airflow",2004-11-05,2004-11-08,NULL
121,31,92.46,Shipped,NULL,"1980’s GM Manhattan Express",2003-01-29,2003-02-02,NULL
121,31,92.46,Shipped,NULL,"1980’s GM Manhattan Express",2003-10-10,2003-10-15,NULL
121,31,92.46,Shipped,NULL,"1980’s GM Manhattan Express",2004-10-15,2004-10-18,NULL
121,31,92.46,Shipped,NULL,"1980’s GM Manhattan Express",2004-11-05,2004-11-08,NULL
121,45,63.35,Shipped,NULL,"1996 Peterbilt 379 Stake Bed with Outrigger",2003-01-29,2003-02-02,NULL
121,45,63.35,Shipped,NULL,"1996 Peterbilt 379 Stake Bed with Outrigger",2003-10-10,2003-10-15,NULL
121,45,63.35,Shipped,NULL,"1996 Peterbilt 379 Stake Bed with Outrigger",2004-10-15,2004-10-18,NULL
121,45,63.35,Shipped,NULL,"1996 Peterbilt 379 Stake Bed with Outrigger",2004-11-05,2004-11-08,NULL
121,42,94.07,Shipped,NULL,"1982 Camaro Z28",2003-01-29,2003-02-02,NULL
121,42,94.07,Shipped,NULL,"1982 Camaro Z28",2003-10-10,2003-10-15,NULL
121,42,94.07,Shipped,NULL,"1982 Camaro Z28",2004-10-15,2004-10-18,NULL
121,42,94.07,Shipped,NULL,"1982 Camaro Z28",2004-11-05,2004-11-08,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-01-31,2003-02-01,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-06-06,2003-06-11,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-06-27,2003-07-03,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-09-28,2003-10-03,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-10-08,2003-10-11,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-11-19,2003-11-20,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-12-02,2003-12-07,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-01-16,2004-01-18,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-04-29,2004-05-04,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-05-05,2004-05-06,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-12-02,2004-12-05,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-12-07,2004-12-13,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-02-10,2005-02-11,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-02-10,2005-02-11,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-02-16,2005-02-18,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-02-22,2005-02-25,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-03-01,2005-03-06,"Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models."
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-03-15,2005-03-19,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-05-03,2005-05-05,NULL
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-05-13,2005-05-19,"Customer doesn't like the colors and precision of the models."
141,34,131.44,Shipped,NULL,"1969 Corvair Monza",2005-05-31,NULL,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-01-31,2003-02-01,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-06-06,2003-06-11,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-06-27,2003-07-03,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-09-28,2003-10-03,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-10-08,2003-10-11,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-11-19,2003-11-20,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-12-02,2003-12-07,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-01-16,2004-01-18,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-04-29,2004-05-04,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-05-05,2004-05-06,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-12-02,2004-12-05,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-12-07,2004-12-13,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-02-10,2005-02-11,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-02-10,2005-02-11,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-02-16,2005-02-18,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-02-22,2005-02-25,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-03-01,2005-03-06,"Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models."
